Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
59,Jeff Buckley,Nightmares By The Sea,1998-05-26,0.627,0.853,8,-5.789,1,0.074,0.136,0.0359,0.0786,0.437,134.842,231133,4
60,Ben Howard,In Dreams,2014-10-20,0.49,0.592,0,-13.54,1,0.0405,0.614,0.713,0.136,0.28,126.621,213440,4
61,The Milk Carton Kids,I'll Be Gone,2019-09-27,0.593,0.447,7,-10.497,0,0.0325,0.862,8.78e-05,0.116,0.194,114.233,144947,4
62,Hozier,It Will Come Back,2014-10-07,0.501,0.446,0,-7.7,0,0.0338,0.379,4.83e-06,0.159,0.154,86.424,277653,4
63,The National,I Need My Girl,2013-05-27,0.523,0.438,0,-11.49,0,0.0356,0.867,0.0723,0.123,0.106,126.028,245240,4
64,Of Monsters and Men,I Of The Storm,2015-06-09,0.384,0.458,2,-9.81,1,0.0331,0.152,0.0148,0.102,0.125,176.527,276453,4
65,Blanco White,Nocturne,2018-06-01,0.48,0.303,2,-13.189,0,0.0302,0.949,0.196,0.155,0.192,127.017,268627,3
66,Damien Rice,Volcano,2003-06-03,0.514,0.289,0,-12.928,1,0.0524,0.578,1.84e-06,0.13,0.437,153.742,278600,4
67,William Crighton,Smile,2016-03-18,0.321,0.58,1,-9.937,1,0.0341,0.0602,0.146,0.253,0.329,113.791,362280,4
68,The Deep Dark Woods,Drifting on a Summer's Night,2017-06-23,0.513,0.493,2,-8.726,1,0.025,0.459,0.0942,0.112,0.53,77.818,174867,1
69,alt-J,Every Other Freckle,2014-08-15,0.543,0.707,2,-7.636,1,0.07,0.614,0.0414,0.118,0.515,143.915,216000,4
70,King Charles,Loose Change for the Boatman,2016-01-22,0.267,0.672,4,-4.65,1,0.0373,0.0589,0.00026,0.102,0.143,170.152,242253,4
71,The Cactus Blossoms,Please Don't Call Me Crazy,2019-03-01,0.442,0.554,0,-7.664,1,0.0268,0.19,0.0452,0.128,0.488,139.291,186653,4
72,Hozier,Angel of Small Death and the Codeine Scene,2013-09-13,0.311,0.656,4,-6.752,1,0.0952,0.163,7.05e-06,0.126,0.297,188.171,218987,4
73,Laura Marling,Devil's Resting Place,2013-05-28,0.221,0.59,2,-12.299,0,0.0916,0.515,0.0636,0.0934,0.713,179.267,194467,4
74,Ben Howard,Esmerelda,2012-01-01,0.341,0.583,2,-9.628,0,0.0408,0.87,0.347,0.262,0.408,172.268,284549,4
75,Tash Sultana,Notion,2016-06-17,0.352,0.414,4,-6.6,0,0.0254,0.391,0.00831,0.185,0.0688,60.042,341000,4
76,Sam Outlaw,Trouble,2017-04-14,0.536,0.79,5,-3.782,1,0.0398,0.00438,1.67e-05,0.103,0.504,127.99,180187,4
77,Bear's Den,When You Break,2013-08-27,0.507,0.505,5,-10.953,0,0.0443,0.587,0.00285,0.124,0.162,141.006,285678,4
78,Strand of Oaks,Sleeping Pills,2012-07-24,0.32,0.108,11,-21.159,0,0.0335,0.891,0.000701,0.294,0.162,85.936,151062,4
79,Orville Peck,Big Sky,2019-03-22,0.473,0.28,7,-12.862,1,0.0388,0.831,0.102,0.181,0.198,109.585,212253,4
80,Emily Jane White,Washed Away,2019-10-11,0.506,0.385,10,-10.133,1,0.0262,0.738,0.00572,0.109,0.161,86.741,236365,3
81,Hozier,Arsonist's Lullabye,2014-03-09,0.463,0.373,6,-10.666,0,0.0362,0.673,0.0745,0.118,0.184,64.831,266547,4
82,Joy Williams,Hush - Theme From Turn,2014-01-01,0.5,0.421,0,-10.709,1,0.0278,0.83,0.625,0.127,0.284,134.937,197240,3
83,Ben Howard,I Forget Where We Were,2014-10-20,0.305,0.462,0,-9.57,1,0.0338,0.475,0.122,0.0916,0.181,113.468,281213,4
84,Emma Ruth Rundle,Marked for Death,2016-09-30,0.284,0.437,10,-7.821,1,0.0382,0.721,0.00924,0.124,0.0629,76.928,219760,4
85,Molly Tuttle,Take The Journey,2019-04-05,0.569,0.675,0,-8.012,0,0.0349,0.115,0.000965,0.236,0.384,121.705,162674,4
86,Florence + The Machine,What Kind Of Man,2015-06-01,0.313,0.635,11,-4.676,0,0.0431,0.0229,0,0.129,0.224,114.776,216176,4
87,Sam Airey,Stars,2014-06-23,0.474,0.0704,2,-16.922,0,0.0438,0.902,0.00116,0.117,0.106,118.577,321058,4
88,Orville Peck,Take You Back (The Iron Hoof Cattle Call),2019-03-22,0.68,0.558,7,-9.468,1,0.0412,0.781,0.0363,0.147,0.472,104.004,207933,4
89,Agnes Obel,Riverside,2010,0.648,0.189,9,-13.553,0,0.0311,0.984,0.000375,0.132,0.231,98.891,230547,3
90,Laura Marling,Devil's Spoke,2010,0.447,0.568,2,-9.172,1,0.0423,0.473,0.00028,0.0824,0.309,117.561,218188,4
91,Simon Herron,All That You Know - Original Mix,2013-12-30,0.502,0.351,2,-11.783,0,0.0296,0.519,0.474,0.109,0.173,145.065,208031,4
92,whenyoung,Sleeper,2018-11-09,0.526,0.244,9,-11.706,0,0.0255,0.726,9.58e-06,0.12,0.142,82.105,276286,4
93,The Highwomen,Highwomen,2019-08-13,0.554,0.47,8,-6.604,0,0.0548,0.77,2.6e-06,0.106,0.346,95.598,212480,4
94,Vera Sola,The Cage,2018-11-09,0.319,0.428,1,-11.432,0,0.0341,0.355,0.0948,0.105,0.127,143.319,280126,4
95,The National,The System Only Dreams in Total Darkness,2017-05-11,0.596,0.912,0,-6.74,0,0.211,0.156,0.794,0.584,0.371,110.013,236747,4
96,Ben Howard,Nica Libres At Dusk,2018-06-01,0.453,0.426,9,-12.793,1,0.031,0.76,0.392,0.0976,0.356,148.063,394320,4
97,Rainbow Kitten Surprise,Devil Like Me,2013-11-19,0.679,0.63,2,-6.83,1,0.158,0.758,7.06e-05,0.111,0.558,123.082,188280,4
98,Pink Floyd,Hey You - 2011 Remastered Version,2011-11-07,0.588,0.301,0,-14.979,1,0.0294,0.221,0.00236,0.128,0.19,112.458,278441,4
99,Red Hot Chili Peppers,Under the Bridge,2003-11-18,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275,265507,4
100,David Bowie,Space Oddity - 2009 Remastered Version,1969-11-04,0.337,0.365,0,-15.091,1,0.0318,0.0788,3.84e-05,0.202,0.497,136.264,317027,4
101,The Beatles,Yesterday - Remastered 2009,1965-08-06,0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.529,125667,4
102,Green Day,Boulevard of Broken Dreams,2004,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,261267,4
103,Gary Jules,Mad World (Feat. Michael Andrews),2002-01-01,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,189507,4
104,The Verve,The Drugs Don't Work,1997-09-29,0.44,0.498,0,-9.788,1,0.0264,0.229,0,0.173,0.157,77.368,305067,4
